mass,dist
0.03257583794985534, 0.10249885866868497
0.034299468690745676, 0.10665596449154506
0.036536493925347996, 0.11220476479616293
0.03904890136350968, 0.11840481091161778
0.042012898698507585, 0.12551380117482275
0.04505147227443769, 0.1327968454273266
0.048149578018397685, 0.14008435104366143
0.0516321695170223, 0.14815957169473468
0.055366691429655425, 0.15668902140974786
0.059174155560846646, 0.16528766032972445
0.06345392076705114, 0.17487651996266002
0.06804334887874644, 0.18498617550963048
0.07320753670901937, 0.19626201398628773
0.07771735562843674, 0.20751120049984276
0.08250099628976243, 0.22048088779108027
0.08728871383466844, 0.23353322406196342
0.09113614899660372, 0.244139779750198
0.09436731166412272, 0.25301317772758697
0.09869178282923086, 0.26456603837919074
0.10441796695628391, 0.28053203195020393
0.11084539338951133, 0.29797986261058607
0.1176684587320066, 0.3165128698643042
0.12491068573637863, 0.33642431516007054
0.13216022310585993, 0.35615252849189427
0.14029531839810477, 0.3783036139247924
0.14943070226005123, 0.4019655172298663
0.15970806275209248, 0.4236787123479755
0.20172789769172064, 0.5042152335395578
0.22021248652297853, 0.5291999837360046
0.24204370061546043, 0.5557655765967529
0.26291617313759813, 0.5831445896598564
0.2741238612770333, 0.5989178343820964
0.292107256029509, 0.6149358345251843
0.31538383133933673, 0.6340797059389378
0.33089564111094993, 0.650498951995887
0.35213009560473046, 0.6680733306728454
0.3804039448562616, 0.6904670633423466
0.405343322201858, 0.7093470822382719
0.43068598120876245, 0.728367647444249
0.46466792842823246, 0.7545257019934328
0.5011925696660592, 0.7782517988441295
0.5393965026558643, 0.8004841042326103
0.5805062575127999, 0.824255871744995
0.6247421060291928, 0.8497022362066485
0.6723700095652497, 0.8731525051245439
0.7236450404323275, 0.8952294765117073
0.7788143028206662, 0.9197711473392098
0.8381933610454174, 0.9445531694138474
0.9021280508441729, 0.9669253158277952
0.9709374811788586, 0.9900323300962196
1.0449672520362328, 1.0164437792298657
1.1246682619624948, 1.0410535897355118
1.2104666135647089, 1.0646207007493602
1.3027649551022136, 1.0925551362401311
1.4020756345554624, 1.123277197076574
1.4644006799495766, 1.1325046831225374
0.1659707892537496, 0.43616120614877796
0.17451786787889506, 0.453717054778797
0.18441944966947355, 0.4763014545193528
