mass,dist
0.06294216945320058, 0.10232213242644986
0.06682566065718229, 0.10720243612806366
0.07047691271646801, 0.11196644431451742
0.07432747824523059, 0.11697160475758533
0.07838861816267406, 0.1221697485943735
0.08267165256407455, 0.12759889464237292
0.08718892286804625, 0.13323576346306706
0.09195279248097832, 0.13915667618475386
0.09697671080193478, 0.1453773032243359
0.10227562527014267, 0.1517995593894745
0.10786354026128597, 0.15858535270981153
0.11375703939960753, 0.16563278508027265
0.12046274626789584, 0.17332666439011327
0.12657330188299826, 0.18089678874793175
0.13361897531512093, 0.18885270943784246
0.1402615259997283, 0.19702769831376393
0.14742589289500524, 0.20639351459403799
0.15341174213600017, 0.21537043893802021
0.15963903886889114, 0.22496422378727365
0.1661185619418411, 0.2350642555699075
0.1728622293161422, 0.24545291040944167
0.17987965929182625, 0.25630069141051537
0.18718196540070883, 0.2676278896344321
0.19542421629777648, 0.280969171705379
0.20470841974304071, 0.2958486730102266
0.21444456234164744, 0.3099269084140961
0.22390277686963989, 0.32311099755272105
0.23474766836904193, 0.338599997731912
0.2442672327878418, 0.35504848394499133
0.2542646175812101, 0.3692379456829819
0.26517711069533645, 0.3857614207512363
0.2805852804506399, 0.40576396304133333
0.29810010132629283, 0.4246674533603577
0.31484373408125665, 0.4441459696287301
0.33245835856190076, 0.46288644397377265
0.3494768220464527, 0.4797429301045746
0.3722891440263877, 0.5020671286729131
0.4006082761841413, 0.5241436447261958
0.43109054915146106, 0.5460423941101297
0.463894060503781, 0.5686279856610055
0.4991968778261468, 0.5917710268966466
0.5372094284833914, 0.6131825719364662
0.5781294690177496, 0.6339357667415982
0.6221503828632937, 0.6571020344842728
0.6695358325210666, 0.6798201112714228
0.7205407083675384, 0.7023034239636986
0.7754333348213664, 0.7253200265236066
0.8344947035842684, 0.7502804986341477
0.8980483135623494, 0.7766414258539278
0.9664641719299818, 0.802073330698104
1.040120800733755, 0.8260375130514473
1.1193693272070713, 0.8523806773194493
1.2046493752854892, 0.8800471860283217
1.2964477150007891, 0.9071157559889444
1.395246458680023, 0.9346745931519739
1.5015580441418979, 0.9641292052044104
1.6160062497398302, 0.9922689186081216
1.7391944796491887, 1.0202332459634043
1.8717190353269988, 1.0520630120047179
2.0143829802224937, 1.0826496544712316
2.1704603553725015, 1.1081326285086857
2.3511891946964365, 1.1286670891961395
